ID,Risk category,Risk,Policy idea,Policy idea description,Jurisdiction,Title,Author,Link,Year
72,Biology,Pandemics,Develop effective defences to biological threats through the proposed UK Institute for Biological Security.,"A proposed UK National Institute for Biological Security would complement current efforts by providing strategic direction to coordinate such efforts across these institutions. This could include authoring a roadmap for 21st-century biosecurity, scoping out new biodefence applications of horizon technologies, and outlining how opportunities can be brought to technical readiness",National,BIOSECURITY WORKING PAPER 1 Proposal for a New UK National Institute for Biological Security,"Cassidy Nelson, Greg Lewis",https://www.fhi.ox.ac.uk/wp-content/uploads/2021/03/Proposal-for-a-New-UK-National-Institute-for-Biological-Security.pdf,2020
73,Biology,Synthetic biology,"Establish a UK National Institute for Biological Security to develop and retain talent in biological security in the UK, and to coordinate national and international biological security efforts.","The proposed UK National Institute for Biological Security would ensure developing and retaining a robust talent pipeline into the UK biosecurity community. This would help cement the UK as a world leader in science and innovation.
Further, the Institute would take a leading role in coordinating efforts to address the concerns described below, developing new initiatives (e.g. ‘no-undercut’ rules for scientific funding or journal publication), and championing safer biological science internationally.",National,BIOSECURITY WORKING PAPER 1 Proposal for a New UK National Institute for Biological Security,"Cassidy Nelson, Greg Lewis",https://www.fhi.ox.ac.uk/wp-content/uploads/2021/03/Proposal-for-a-New-UK-National-Institute-for-Biological-Security.pdf,2020
74,Biology,Pandemics,Launch a prize to incentivise the development of clinical metagenomics.,"Award a prize of around £3 million to the first group that can develop an interface that takes raw metagenomics data and turns out potentially clinically relevant results.
Clinical metagenomics has the potential to identify new, unexpected pathogens in the first few infected patients, rather than months later. This would be game-changing, as it would allow for a much earlier, targeted response to an outbreak of an unknown virus.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
75,Biology,Biological weapons,Create a National Institute for Biological Security,"A proposed UK National Institute for Biological Security would champion the tackling of the risk of biological weapons in government, provide an interface between government, academia and civil society, and serve as a ‘think tank’ for how the pre-existing ‘web of prevention’ can be improved.",National,BIOSECURITY WORKING PAPER 1 Proposal for a New UK National Institute for Biological Security,"Cassidy Nelson, Greg Lewis",https://www.fhi.ox.ac.uk/wp-content/uploads/2021/03/Proposal-for-a-New-UK-National-Institute-for-Biological-Security.pdf,2020
76,Biology,Synthetic biology,Establish a Biosecurity Leadership Council and appoint a liaison officer to improve coordination between the biosciences and security communities.,"Government should establish a Biosecurity Leadership Council. Its role would be to develop biosecurity policy through collaboration between the Government, academia, business, and other relevant stakeholders. It would provide an official channel of coordination to ensure that there is dialogue between these stakeholders. The UK Synthetic Biology Leadership Council is a possible model.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
78,General,General,Revise the Green Book’s discount rate and ensure the Treasury adopts key recommendations on intergenerational fairness.,"The UK's Green Book’s discount rate should lower enough to ensure that today’s policies do not make future generations disproportionately worse off. The discount rate should decline more quickly in the long run, the ‘pure time preference’ part of the discount rate should be set at 0%, and the Green Book should acknowledge that the current discount rate formula does not work for estimating the costs of significant disasters (for instance, because they could lead to significant economic decline).",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
79,General,General,"Establish a new Defence Software Safety Authority as a sub-agency of the Defence Safety Authority, to protect UK defence systems from emerging threats.","UK should establish a new Defence Software Safety Authority as a sub-agency of the Defence Safety Authority, tasked with regulating the safety of defence systems that integrate increasingly capable AI, machine learning and autonomy. This should involve adopting a new regulation in the form of a Joint Service Publication. This would require a targeted increase in funding for additional hiring, and training to judge the limitations, risks, and overall safety and security of new defence systems.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
80,Technology,Artificial intelligence,"Fund greater capacity for assessing progress in AI, its applications and impacts on society","Government should use more funding towards creating a greater capacity inside the government for establishing metrics and mechanisms to assess progress in AI, its applications and impacts on society. This could be achieved either by a new body (which could be housed within the Centre for Data Ethics and Innovation or the Alan Turing Institute), or by substantially increasing the scope and funding for existing initiatives, such as CDEI’s existing AI-monitoring capacity.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
81,Technology,Artificial intelligence,Set up a TechCongress-equivalent scheme,"To bring more technical AI expertise into Government, Government should set up a TechCongress-equivalent scheme (potentially as part of the cross-government Open Innovation Team) aimed at enabling the UK Government to recruit and gain access to AI expertise in fields like AI governance and ethics. The scheme should place experts in Parliament and also embed them within the Civil Service.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
89,Weapons,Nuclear weapons,Restrict the integration of ICT systems into NC4ISR systems.,"A nuclear-armed state's government should restrict the integration of information and communications technology (ICT) systems into nuclear command, control, communications, computers, intelligence, surveillance and reconnaissance (NC4ISR) systems. In particular, the introduction of autonomy and machine learning into these systems should be avoided, and should be reflected in procurement policies.",National,"Autonomy and Machine Learning as Risk Factors at the Interface of Nuclear Weapons, Computers and People","Avin, Shahar and S.M. Amadae",https://www.cser.ac.uk/media/uploads/files/Avin_Amadae_Autonomy_and_machine_learning_at_the_interface_of_nuclear_weapons_computers_and_people.pdf,2019
92,Technology,Artificial intelligence,Create specific technical roles around AI in key departments,"To bring more technical AI expertise into Government, Government should create specific technical roles in key departments, including the Ministry of Defence, the Information Commissioner’s Office, the Home Office and the Department for Business, Energy, and Industrial Strategy. These roles would be targeted at experts in AI, machine learning and cyber security, and would focus on assuring the safety and security of AI systems that are deployed in specific sectors, particularly those that serve critical functions to society (such as critical
infrastructure, law enforcement, finance, and defence).",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
93,Weapons,Nuclear weapons,Refrain from cyber operations against all other states’ nuclear weapons systems and personnel and establish norms and institutions that prohibit such actions.,"To maintain nuclear deterrence and strategic stability, states should exercise restraint by refraining from cyber operations against all other states’ nuclear weapons systems and personnel (i.e. broadly targeted information campaigns that could influence nuclear deterrence).
In doing so, nuclear weapons states should develop three basic norms:
(a) to achieve best practices in maintaining the security of their own NC3 and NC4ISR systems
(b) to denounce and refrain from conducting offensive cyber actions
(c) to limit the weaponization of autonomy and machine learning, especially in the cyber and information warfare domains.",National,"Autonomy and Machine Learning as Risk Factors at the Interface of Nuclear Weapons, Computers and People","Avin, Shahar and S.M. Amadae",https://www.cser.ac.uk/media/uploads/files/Avin_Amadae_Autonomy_and_machine_learning_at_the_interface_of_nuclear_weapons_computers_and_people.pdf,2019
102,Technology,Artificial intelligence,Set up a fund to cover salaries of technical experts,"To bring more technical AI expertise into Government, Government should set up a fund that agencies can apply for to cover the salaries of additional technical experts where necessary.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
103,Technology,Artificial intelligence,Provide funding for existing civil servants to develop training and expertise in AI and machine learning,"To bring more technical AI expertise into Government, Government should provide funding for existing civil servants to develop training and expertise in AI and machine learning. The Treasury currently provides scholarships for civil servants to study economics; an equivalent scheme should be devised for AI.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
105,Technology,Artificial intelligence,Set up throughout-lifetime stress-testing of computer and AI system safety and security.,"Government should ensure that any new AI-related bodies prioritise the safe development of AI, in particular by setting up throughout-lifetime stress-testing of computer and AI system safety and security. Computer and AI systems should be stress-tested during development, testing, training, early deployment, at regular intervals and before retirement of relevant systems.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
106,Technology,Artificial intelligence,Use 'white hats' to stress test systems,"The Government should have dedicated ‘white hats’ to stress test their systems by attempting to compromise their software and hardware vulnerabilities, through social engineering and by designing adversarial environments. Adversarial testing and red teaming should be a part of military exercises.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
112,Technology,Artificial intelligence,Update the Ministry of Defence’s definition of ‘lethal autonomous weapons systems’,The UK should adopt a definition of 'lethal autonomous weapons systems' similar to that used by other governments and international organisations in order to improve its ability to consider and protect against foreseeable risks associated with these systems. The current Ministry of Defence's definition is a very high bar to reach — almost human-level intelligence — and is so high as to be almost meaningless. No system currently under research or development would be capable of meeting this definition.,National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
116,Technology,Artificial intelligence,"Create a pool of machine-learning-relevant computational resources to provide free of charge for socially beneficial applications and AI safety, security, and alignment research.","UK should create a ‘compute fund’ to provide free or subsidised computation resources to researchers working on socially beneficial AI applications or AI safety, security and alignment. These resources would benefit in the critical areas of human-centric and beneficial AI applications and AI safety. It woud increase scrutiny of commercial and government AI systems and would enable to use AI to test AI.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
122,Technology,Artificial intelligence,Develop audit trail requirements for safety-critical applications of AI systems,"Organizations involved in setting technical standards – including governments and private actors – should establish clear guidance regarding how to make safety-critical AI systems fully auditable. The rationale is that software audit trails often require a base set of traceability trails to be demonstrated for qualification; the decision to choose a certain set of trails requires considering trade-offs about efficiency, completeness, tamperproofing, and other design considerations.",All,Tackling threats to informed decisionmaking in democratic societies,Brundage et. al.,https://arxiv.org/pdf/2004.07213.pdf,2020
123,Technology,Artificial intelligence,"Substantially increase funding of computing power resources for researchers in academia, in order to improve the ability of those researchers to verify claims made by industry","Government funding bodies should substantially increase funding of computing power resources for researchers in academia, in order to improve the ability of those researchers to verify claims made by industry. While computing power is not a panacea for addressing the gap in resources available for research in academia and industry, funding bodies such as those in governments could level the playing field between sectors by more generously providing computing credits to researchers in academia. Governments could also build their own compute infrastructures.",All,Toward Trustworthy AI Development: Mechanisms for Supporting Verifiable Claims,Brundage et. al.,https://arxiv.org/pdf/2004.07213.pdf,2020
126,Biology,Pandemics,"Fund research into faster ‘platform’ methods for going from pathogen to vaccine, perhaps using innovation prizes.","Increase funding into research on underlying platforms that would be able to apply across a range of different viral species. The role of platforms would be, for example, that with a new coronavirus coming out, we would already know about other coronaviruses and we would be able to have some vaccine candidates that would be more readily adjustable to be able to apply to these. Machine learning would be used. This would allow to develop a vaccine for a new pathogen as quickly as in 16 weeks.",All,Dr Cassidy Nelson on the twelve best ways to stop the next pandemic (and limit COVID-19),Cassidy Nelson,https://80000hours.org/podcast/episodes/cassidy-nelson-12-ways-to-stop-pandemics/#policy-idea-1-a-drastic-change-to-diagnostic-testing-03459,2020
133,General,General,Establish a government office for risk,"Establish a government office for risk with responsibility for assessing and managing risks that cut across or fall outside of departmental risk profiles, including unknown, emerging and long-term risks, and that the development and application of foresight tools for assessing and managing these risks would be a proper function for such an office.",National,"Foresight for unknown, long-term and emerging risks, Approaches and Recommendations",Rojas et. al.,,2021
138,General,General,Conduct regular horizon-scanning,"Regular horizon scanning may identify previously unknown risks, enabling us to develop targeted prevention measures. Organisations must be set up in such a way that warnings of newly discovered risks reach decision-makers",National,"Defence in Depth Against Human Extinction: Prevention, Response, Resilience, and Why They All Matter","Daniel M., Sandberg A., Cotton-Barratt O.",,2020
146,Weapons,Nuclear weapons,Adopt a 'No-first-use' doctrine,"Nuclear-armed states should adopt a doctrine of 'no-first-use.' In this doctrine, countries pledge to not be the first country to use nuclear weapons In a conflict. The doctrine reserves the possibility of launching retaliatory second-strike attacks, which makes deterrence of nuclear attacks the main role of nuclear weapons.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000403,2015
148,Weapons,Nuclear weapons,Adopt a 'minimum deterrence' doctrine,"Nuclear-armed states should adopt a doctrine of 'minimum deterrence.' . This doctrine seeks to identify and deploy the minimum nuclear force (including weapons, delivery vehicles, and command and control systems) necessary to deter adversaries from attacking.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000405,2015
149,Weapons,Nuclear weapons,Implement a 'no-cities' policy.,"Nuclear-armed states should agree to implement a 'no-cities' policy, under which cities and industrial areas would not be targeted by nuclear weapons. By pointing nuclear weapons away from with more flammable material in the vicinity, the same number of nuclear detonations will produce less smoke, thereby reducing the severity of nuclear winter. Lives would also be saved as only less populated areas could be targeted.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000406,2015
150,Weapons,Nuclear weapons,Increase the amount of time between the alarm sounding and the might-be-a-nuclear weapon reaching its target.,"Nuclear-armed states should increase the amount of time between the alarm sounding (i.e. the signal of a potential incoming nuclear weapon being noticed) and the might-be-a-nuclear weapon reaching its target. This gives decision makers more time to discern whether the alarm is real and thus whether ‘‘counterattack’’ should be aborted. Decision time can be increased, for example, by each side relocating their nuclear weapon submarines farther from each others’ coasts, increasing the flight time for nuclear missiles launched from the submarines.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000407,2015
151,Weapons,Nuclear weapons,Improve the quality of nuclear alarm signal.,"Nuclear-armed states should improve the quality of their alarm signal that warns of the threat of a nuclear attack. This can be achieved by installing multiple detection systems, such as RADAR and satellite.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000408,2015
152,Weapons,Nuclear weapons,Maintain resource stockpiles to prepare for nuclear winter,"Countries should maintain resource stockpiles (food, water, fuel, medical supplies etc.) for catastrophic events such as nuclear winter. With enough of the right resources, anyone not directly hit by the nuclear explosions has a chance of surviving and even living comfortably until environmental conditions return to normal.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000409,2015
153,Weapons,Nuclear weapons,Built refuges to prepare for nuclear winter,"Countries should build isolated, self-sufficient, continuously inhabited underground refuges as a means of protecting civilization against a range of known and unknown catastrophic threats, such as nuclear winter.",National,Confronting the Threat of Nuclear Winter,Seth D. Baum,https://www.sciencedirect.com/science/article/pii/S0016328715000410,2015
157,Technology,Artificial intelligence,Develop an International Treaty to Regulate AI Research and Development,"An international treaty for the purpose of ensuring the safety of AI research, with the ultimate goal to make the first strong AI developed a controllable and safe tool to use for the benefit of all of humankind could be a crucial contribution identify ‘early warning signs’ of transformative AI progress, to enable more anticipatory governance, as well as better prioritisation of research and allocation of resource...the treaty would have to contain an obligation of the state parties to conduct AI research and development only in a safe manner, to be further specified by the treaty. Furthermore, the treaty would oblige the state parties to refrain from the proliferation of knowledge that could lead to the development of an unsafe AI and to enforce the provisions of the treaty through their domestic legal systems.",International,The united nation's capability to manage existential risks with a focus on artificial intelligence,Nindler R.,https://brill.com/view/journals/iclr/21/1/article-p5_3.xml,2019
175,Technology,Artificial intelligence,Implement soft-law measures around AI,"A range of non-binding “soft law” measures that create expectations but are not formally enforced by government, including “private standards, voluntary programs, professional guidelines, codes of conduct, best practices, principles, public-private partnerships and certification programs”",International,Collective action on artificial intelligence: A primer and review,Robertde Neufville; Seth D.Baum,https://www.sciencedirect.com/science/article/pii/S0160791X2100124X?casa_token=1DiMLrNPu0AAAAAA:Geb0ha4_alI6GIaPZmv4TRKzp3GBYkeRM9--GN4m0WaNh4_8hmXj82datI1q826lSHzzJnfUEg,2021
176,Technology,Artificial intelligence,Develop an international AI research organisation,"An international organization could sponsor, host, or serve as a clearinghouse for research into AI, and play a role similar the European Organization for Nuclear Research (CERN) in physics or the Intergovernmental Panel on Climate Change (IPCC) in climate science",International,Collective action on artificial intelligence: A primer and review,Robertde Neufville; Seth D.Baum,https://www.sciencedirect.com/science/article/pii/S0160791X2100124X?casa_token=1DiMLrNPu0AAAAAA:Geb0ha4_alI6GIaPZmv4TRKzp3GBYkeRM9--GN4m0WaNh4_8hmXj82datI1q826lSHzzJnfUEg,2021
180,Technology,Artificial intelligence,Create a National Algorithm Safety Board,Create a National Algorithm Safety Board similar to the US National Transportation Safety Board to provide independent oversight of algorithms used to make decisions that impact the public,National,Collective action on artificial intelligence: A primer and review,Robertde Neufville; Seth D.Baum,https://www.sciencedirect.com/science/article/pii/S0160791X2100124X?casa_token=1DiMLrNPu0AAAAAA:Geb0ha4_alI6GIaPZmv4TRKzp3GBYkeRM9--GN4m0WaNh4_8hmXj82datI1q826lSHzzJnfUEg,2021
204,Weapons,Nuclear weapons,Extend New START for five years,"Extend New START for five years. Announce intention to deploy no more than 1,400 strategic warheads (fewer than the treaty’s ceiling of 1,550) and invite Russia to make a reciprocal commitment.",National,Reducing Nuclear Risks: An Urgent Agenda for 2021 and Beyond,NTI,https://media.nti.org/documents/Reducing_Nuclear_Risks_An_Urgent_Agenda_for_2021_and_Beyond.pdf,2020
208,Weapons,Nuclear weapons,Develop confidence-building agreements and mechanisms,"Develop confidence-building agreements and mechanisms such as advance notification of ballistic missile test launches, establishment of a Nuclear Risk Reduction Center channel, and reciprocal exchanges of information about nuclear forces and missile defense plans as part of a broader effort to manage and avoid crises and potential misunderstandings and miscalculations.",National,Reducing Nuclear Risks: An Urgent Agenda for 2021 and Beyond,NTI,https://media.nti.org/documents/Reducing_Nuclear_Risks_An_Urgent_Agenda_for_2021_and_Beyond.pdf,2020
230,General,General,Invest in resilience,"A resilience framing accepts that extreme events will occur and prioritizes strategies to limit the loss and prevent spiraling knock-on effects. Resilience planning should occur at multiple levels and take several forms. Strategies to provide essential food, water and power in the event of severe disruption lasting weeks or months should be a standard consideration of city authorities. Distributed systems that provide power, water and food are less susceptible to cataclysmic point failure than completely centralized systems (Perrow 1999). Within growing populations especially in informal settlements in low-income country cities and with progressive per capita availability of freshwater, decentralized approaches that leverage local resources to provide safe drinking water and reduce environmental contamination are being deployed at several sites. Urban gardens and urban farms can improve the resilience of neighborhoods and cities. Such distributed systems are increasingly efficient and are being adopted in many contexts",National,Risk and Response to Biological Catastrophe in Lower Income Countries,"Luby S., Arthur R.",https://link.springer.com/chapter/10.1007/82_2019_162,2019
231,Biology,Pandemics,Designate a permanent facilitator in UN for GCBRs,"The Office of the United Nations Secretary-General should designate a permanent facilitator and/ or unit devoted to coordinating the response to deliberate, high-consequence, or unusual biological events.",International,A Spreading Plague: Lessons and Recommendations for Responding to a Deliberate Biological Event,Michelle Nalabandian,https://media.nti.org/documents/NTI_Paper_A_Spreading_Plague_FINAL_061119.pdf,2019
